ct_name,code_iaids,meaning,seq,ntsb_type,ntsb_code,avn_code,ntsb_codes_more,not_for_ntsb_use,eADMS_use,notes
ct_rwy_cond         ,WAGL,Water--glassy,11.0,N,11, ,,False,True,
ct_rwy_cond         ,WET,Wet,2.0,N,02, ,,False,True,
ct_rwy_cond0         ,UNK,Unknown,0.0,N,00, ,,False,True,
ct_safety_type,ACC,Accomplishment,1.0,N,,,,False,True,
ct_safety_type,ALR,Alert,1.0,N,,,,False,True,
ct_safety_type,RES,Result,1.0,N,,,,False,True,
ct_sched            ,NSCH,Non-scheduled,2.0,N,02, ,,False,True,
ct_sched            ,SCHD,Scheduled,1.0,N,01, ,,False,True,
ct_sched            ,UNK,Unknown,0.0,N,00, ,,False,False,Keep for archived data
ct_seat_crew,CTR,Center,3.0,N,03, ,,False,True,
ct_seat_crew,FRT,Front,4.0,N,04, ,,False,True,
ct_seat_crew,LEFT,Left,1.0,N,01, ,,False,True,
ct_seat_crew,NONE,None,7.0,-,98,-, ,False,True, Added 2/28/14
ct_seat_crew,REAR,Rear,5.0,N,05, ,,False,True,
ct_seat_crew,RGT,Right,2.0,N,02, ,,False,True,
ct_seat_crew,SNGL,Single,6.0,-,99,-,,False,True,
ct_seat_crew,UNK,Unknown,0.0,N,00, ,,False,True,
ct_seat_pass,CTR,Center,3.0,N,3,,,False,True,
ct_seat_pass,FRT,Front,4.0,N,4,,,False,True,
ct_seat_pass,LEFT,Left,1.0,N,1,,,False,True,
ct_seat_pass,NONE,None,7.0,-,98,-, ,False,True, Added 2/28/14
ct_seat_pass,REAR,Rear,5.0,N,5,,,False,True,
ct_seat_pass,RGT,Right,2.0,N,2,,,False,True,
ct_seat_pass,UNK,Unknown,0.0,N,0,,,False,True,
ct_sim_case_filt,ACFT,Aircraft,2.0,N,,,,False,True,
ct_sim_case_filt,SOE,Sequence of Events,3.0,N,,,,False,True,
ct_sky_ceil         ,BKN,Broken,1.0,N,02, ,,False,True,
ct_sky_ceil         ,NONE,None,,N,01, ,,False,True,
ct_sky_ceil         ,OBSC,Obscured,5.0,N,04, ,,False,False,
ct_sky_ceil         ,OVC,Overcast,2.0,N,03, ,,False,True,
ct_sky_ceil         ,UNK,Unknown,4.0,N,00, ,,False,True,
ct_sky_ceil         ,VV,Indefinite (V V),3.0,,, ,,False,True,
ct_sky_nonceil      ,BKNT,Thin Broken,4.0,N,03, ,,False,False,
ct_sky_nonceil      ,CLER,Clear,,N,01, ,,False,True,
ct_sky_nonceil      ,FEW,Few,1.0,,, ,,False,True,
ct_sky_nonceil      ,OVCT,Thin Overcast,6.0,N,04, ,,False,False,
ct_sky_nonceil      ,POBS,Partial Obscuration,5.0,N,05, ,,False,False,
ct_sky_nonceil      ,SCAT,Scattered,2.0,N,02, ,,False,True,
ct_sky_nonceil      ,UNK,Unknown,3.0,N,00, ,,False,True,
ct_spec_hand,GA,GA,2.0,,,,,False,True,Special Handling
ct_spec_hand,IIC,IIC,3.0,,,,,False,True,Special Handling
ct_spec_hand,IND,Industry,5.0,,,,,False,True,Special Handling
ct_spec_hand,PA,PA,0.0,,,,,False,True,Special Handling
ct_spec_hand,TDA,TDA,1.0,,,,,False,True,Special Handling
ct_states,AB,ALBERTA,0.0,,,AB,,False,True,
ct_states           ,AK,ALASKA,0.0, ,  ,AK,,False,True,
ct_states           ,AL,ALABAMA,0.0, ,  ,AL,,False,True,
ct_states           ,AO,ATLANTIC OCEAN,0.0, ,  ,AO,,False,True,
ct_states           ,AR,ARKANSAS,0.0, ,  ,AR,,False,True,
ct_states,AS,AMERICAN SAMOA,0.0,,,,,False,True,
ct_states           ,AZ,ARIZONA,0.0, ,  ,AZ,,False,True,
ct_states,BC,BRITISH COLUMBIA,0.0,,,BC,,False,True,
ct_states           ,CA,CALIFORNIA,0.0, ,  ,CA,,False,True,
ct_states           ,CB,CARIBBEAN SEA,0.0, ,  ,CB,,False,True,
ct_states           ,CO,COLORADO,0.0, ,  ,CO,,False,True,
ct_states           ,CT,CONNECTICUT,0.0, ,  ,CT,,False,True,
ct_states,CZ,CANAL ZONE,0.0,,,CZ,,False,True,
ct_states           ,DC,DISTRICT OF COLUMBIA,0.0, ,  ,DC,,False,True,
ct_states           ,DE,DELAWARE,0.0, ,  ,DE,,False,True,
ct_states           ,FL,FLORIDA,0.0, ,  ,FL,,False,True,
ct_states           ,FM,MICRONESIA,0.0, ,  ,FM,,False,True,
ct_states,FN,FOREIGN,0.0,,,FN,,False,True,
ct_states           ,GA,GEORGIA,0.0, ,  ,GA,,False,True,
ct_states           ,GM,GULF OF MEXICO,0.0, ,  ,GM,,False,True,
ct_states,GU,GUAM,0.0,,,,,False,True,
ct_states           ,HI,HAWAII,0.0, ,  ,HI,,False,True,
ct_states           ,IA,IOWA,0.0, ,  ,IA,,False,True,
ct_states           ,ID,IDAHO,0.0, ,  ,ID,,False,True,
ct_states           ,IL,ILLINOIS,0.0, ,  ,IL,,False,True,
ct_states           ,IN,INDIANA,0.0, ,  ,IN,,False,True,
ct_states           ,KS,KANSAS,0.0, ,  ,KS,,False,True,
ct_states           ,KY,KENTUCKY,0.0, ,  ,KY,,False,True,
ct_states           ,LA,LOUISIANA,0.0, ,  ,LA,,False,True,
ct_states           ,MA,MASSACHUSETTS,0.0, ,  ,MA,,False,True,
ct_states,MB,MANITOBA,0.0,,,MB,,False,True,
ct_states           ,MD,MARYLAND,0.0, ,  ,MD,,False,True,
ct_states           ,ME,MAINE,0.0, ,  ,ME,,False,True,
ct_states           ,MH,MARSHALL ISLANDS,0.0, ,  ,MH,,False,True,
ct_states           ,MI,MICHIGAN,0.0, ,  ,MI,,False,True,
ct_states           ,MN,MINNESOTA,0.0, ,  ,MN,,False,True,
ct_states           ,MO,MISSOURI,0.0, ,  ,MO,,False,True,
ct_states           ,MP,NORTHERN MARIANAS,0.0, ,  ,MP,,False,True,
ct_states           ,MS,MISSISSIPPI,0.0, ,  ,MS,,False,True,
ct_states           ,MT,MONTANA,0.0, ,  ,MT,,False,True,
ct_states,NB,NEW BRUNSWICK,0.0,,,NB,,False,True,
ct_states           ,NC,NORTH CAROLINA,0.0, ,  ,NC,,False,True,
ct_states           ,ND,NORTH DAKOTA,0.0, ,  ,ND,,False,True,
ct_states           ,NE,NEBRASKA,0.0, ,  ,NE,,False,True,
ct_states           ,NH,NEW HAMPSHIRE,0.0, ,  ,NH,,False,True,
ct_states           ,NJ,NEW JERSEY,0.0, ,  ,NJ,,False,True,
ct_states,NL,NEWFOUNDLAND AND LABRADOR,0.0,,,NL,,False,True,
ct_states           ,NM,NEW MEXICO,0.0, ,  ,NM,,False,True,
ct_states,NS,NOVA SCOTIA,0.0,,,NS,,False,True,
ct_states,NT,NORTHWEST TERRITORIES,0.0,,,NT,,False,True,
ct_states,NU,NUNAVUT,0.0,,,NU,,False,True,
ct_states           ,NV,NEVADA,0.0, ,  ,NV,,False,True,
ct_states           ,NY,NEW YORK,0.0, ,  ,NY,,False,True,
ct_states           ,OH,OHIO,0.0, ,  ,OH,,False,True,
ct_states           ,OK,OKLAHOMA,0.0, ,  ,OK,,False,True,
ct_states,ON,ONTARIO,0.0,,,ON,,False,True,
ct_states           ,OR,OREGON,0.0, ,  ,OR,,False,True,
ct_states           ,PA,PENNSYLVANIA,0.0, ,  ,PA,,False,True,
ct_states,PE,PRINCE EDWARD ISLAND,0.0,,,PE,,False,True,
ct_states           ,PO,PACIFIC OCEAN,0.0, ,  ,PO,,False,True,
ct_states,PR,PUERTO RICO,0.0,,,,,False,True,
ct_states,PW,PALAU,0.0,,,PW,,False,True,
ct_states,QC,QUEBEC,0.0,,,QC,,False,True,
ct_states           ,RI,RHODE ISLAND,0.0, ,  ,RI,,False,True,
ct_states           ,RQ,PUERTO RICO,0.0, ,  ,RQ,,True,True,
ct_states           ,SC,SOUTH CAROLINA,0.0, ,  ,SC,,False,True,
ct_states           ,SD,SOUTH DAKOTA,0.0, ,  ,SD,,False,True,
ct_states,SK,SASKATCHEWAN,0.0,,,SK,,False,True,
ct_states           ,TN,TENNESSEE,0.0, ,  ,TN,,False,True,
ct_states           ,TX,TEXAS,0.0, ,  ,TX,,False,True,
ct_states,UN,UNKNOWN,0.0,,,,,False,True,
ct_states           ,UT,UTAH,0.0, ,  ,UT,,False,True,
ct_states           ,VA,VIRGINIA,0.0, ,  ,VA,,False,True,
ct_states,VI,US VIRGIN ISLANDS,0.0,,,,,False,True,
ct_states           ,VT,VERMONT,0.0, ,  ,VT,,False,True,
ct_states           ,WA,WASHINGTON,0.0, ,  ,WA,,False,True,
ct_states           ,WI,WISCONSIN,0.0, ,  ,WI,,False,True,
ct_states           ,WV,WEST VIRGINIA,0.0, ,  ,WV,,False,True,
ct_states           ,WY,WYOMING,0.0, ,  ,WY,,False,True,
ct_states,YT,YUKON,0.0,,,,,False,True,
ct_time_zone,ADT,Atlantic Daylight Time,,,,ADT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,AKD,Alaska Daylight Time,,,,AKDT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,AKS,Alaska Standard Time,,,,AKST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,AST,Atlantic Standard Time,,,,AST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,BST,British Summer Time,,,,BST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,CDT,Central Daylight Time,,,,CDT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,CST,Central Standard Time,,,,CST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,EDT,Eastern Daylight Time,,,,EDT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,EST,Eastern Standard Time,,,,EST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,HDT,Hawaii-Aleutian Daylight Time,,,,HADT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,HST,Hawaii-Aleutian Standard Time,,,,HAST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,LCL,Local Time (Foreign),,,,LOCAL,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,MDT,Mountain Daylight Time,,,,MDT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,MST,Mountain Standard Time,,,,MST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,PDT,Pacific Daylight Time,,,,PDT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,PST,Pacific Standard Time,,,,PST,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,UTC,Coordinated Universal Time,,,,UTC,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,YDT,Yukon Daylight Time,,,,YDT,,False,True,Using avn_code for 3-5 digit time zone code
ct_time_zone,YST,Yukon Standard Time,,,,YST,,False,True,Using avn_code for 3-5 digit time zone code
ct_turb_severity,EXTR,Extreme,6.0,N,,,,False,True,
ct_turb_severity,LIGT,Light,2.0,N,,,,False,True,
ct_turb_severity,MODT,Moderate,3.0,N,,,,False,True,
ct_turb_severity,NA,N/A,1.0,N,,,,False,True,
ct_turb_severity,SEVR,Severe,5.0,N,,,,False,True,
ct_turb_severity,UNKN,Unknown,7.0,N,,,,False,True,
ct_turb_type,CLRA,Clear Air,2.0,N,,,,False,True,
ct_turb_type,CONV,Convective,4.0,N,,,,False,True,
ct_turb_type,NONE,None,1.0,N,,,,False,True,
ct_turb_type,TERR,Terrain-Induced,3.0,N,,,,False,True,
ct_turb_type,UNKN,Unknown,5.0,N,,,,False,True,
ct_type_clear       ,CRUI,Cruise,7.0,N,07, ,,False,True,
ct_type_clear       ,IFR,IFR,4.0,N,04, ,,False,True,
ct_type_clear       ,SIFR,Special IFR,5.0,N,05, ,,False,True,
ct_type_clear       ,SVFR,Special VFR,3.0,N,03, ,,False,True,
ct_type_clear       ,TRAD,Traffic Advisory,8.0,N,08, ,,False,True,
ct_type_clear       ,VFR,VFR,2.0,N,02, ,,False,True,
ct_type_clear       ,VFRF,VFR Flight Following,9.0,N,09, ,,False,True,
ct_type_clear       ,VTOP,VFR on top,6.0,N,06, ,,False,True,
ct_type_clear0       ,NONE,None,1.0,N,01, ,,False,True,New
ct_type_clear1       ,UNK,Unknown,0.0,N,00, ,,False,True,New
ct_type_fly         ,AAPL,Aerial Application,6.0,N,05,6,,False,True,
ct_type_fly         ,ADRP,Air Drop,, ,, ,,False,True,
ct_type_fly         ,AOBV,Aerial Observation,7.0,N,06, ,,False,True,
ct_type_fly         ,ASHO,Air Race/Show,, ,, ,,False,True,
ct_type_fly,BANT,Banner Tow,,,,,,False,True,New
ct_type_fly         ,BUS,Business,2.0,N,02,2,,False,True,
ct_type_fly         ,EXEC,Executive/Corporate,4.0,N,04,3,,False,True,
ct_type_fly,EXLD,External Load,,,,,,False,True,New
ct_type_fly         ,FERY,Ferry,9.0,C,09, ,,False,True,
ct_type_fly,FIRF,Firefighting,,,,,,False,True,New
ct_type_fly,FLTS,Flight Test,,,,,,False,True,
ct_type_fly,GLDT,Glider Tow,,,,,,False,True,New
ct_type_fly         ,INST,Instructional,3.0,N,03,4,,False,True,
ct_type_fly         ,OWRK,Other Work Use,8.0,N,07, ,,False,True,
ct_type_fly         ,PERS,Personal,1.0,N,01,1,,False,True,
ct_type_fly         ,POSI,Positioning,10.0,N,10, ,,False,True,
ct_type_fly    ,PUBF,Public Aircraft - Federal,13.0,,,,,False,True,New
ct_type_fly        ,PUBL,Public Aircraft - Local,12.0,,,,,False,True,New
ct_type_fly  ,PUBS,Public Aircraft - State,14.0,,,,,False,True,New
ct_type_fly         ,PUBU,Public Aircraft,11.0,N,08, ,,False,True,
ct_type_fly,SKYD,Skydiving,,,,,,False,True,New
ct_type_fly         ,UNK,Unknown,100.0,N,00,Z,,False,True,
ct_type_last_insp   ,100H,100 Hour,2.0,N,02, ,,False,True,
ct_type_last_insp   ,AAIP,AAIP,3.0,N,03, ,,False,True,
ct_type_last_insp   ,ANNL,Annual,1.0,N,01, ,,False,True,
ct_type_last_insp   ,COAW,Continuous Airworthiness,4.0,N,04, ,,False,True,
ct_type_last_insp   ,COND,Condition,,,, ,,False,True,
ct_type_last_insp   ,UNK,Unknown,0.0,N,00, ,,False,True,
ct_vfr_appr         ,FLND,Forced Landing,10.0,N,10, ,,False,True,
ct_vfr_appr         ,FSTP,Full Stop,7.0,N,07, ,,False,True,
ct_vfr_appr         ,GOAR,Go Around,5.0,N,05, ,,False,True,
ct_vfr_appr         ,NOE,Valley/Terrain Following,4.0,N,04, ,,False,True,
ct_vfr_appr         ,PLND,Precautionary Landing,11.0,N,11, ,,False,True,
ct_vfr_appr         ,SIFL,Simulated Forced Landing,9.0,N,09, ,,False,True,
ct_vfr_appr         ,STGO,Stop and Go,8.0,N,08, ,,False,True,
ct_vfr_appr         ,STIN,Straight-in,3.0,N,03, ,,False,True,
ct_vfr_appr         ,TOGO,Touch and Go,6.0,N,06, ,,False,True,
ct_vfr_appr         ,TPAT,Traffic Pattern,2.0,N,02, ,,False,True,
ct_vfr_appr0         ,NONE,None,1.0,N,01, ,,False,True,
ct_vfr_appr1         ,UNK,Unknown,0.0,N,00, ,,False,True,
ct_vis_restrct      ,BD,Blowing Dust,9.0,N,09, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,BN,Blowing Sand,11.0,N,11, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,BS,Blowing Snow,10.0,N,10, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,BY,Blowing Spray,8.0,N,08, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,D,Dust,3.0,N,03, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,F,Fog,5.0,N,05, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,GF,Ground Fog,7.0,N,07, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,H,Haze,2.0,N,02, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,IF,Ice Fog,6.0,N,06, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,K,Smoke,4.0,N,04, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,NONE,None,1.0,N,01, ,,False,False,Data will be converted to wx_metar codes
ct_vis_restrct      ,UNK,Unknown,12.0,N,12, ,,False,False,Data will be converted to wx_metar codes
ct_wind_vel         ,CALM,Calm,1.0,N,01, ,,False,True,
